Tweet Posted Time (UTC),Tweet Content,Tweet Location,Emotion
2020-03-18,The journey from #GodBlessYou to #GetLost #iSneeze #COVID2019 #coronavirus,Bihar,joy
2020-03-18,#technicalguruji I humble request for you bhiyaji I am student and you know every thing for corona virus these problems are effected my study alounce bhart sarkar online study than I have no batter phone please I requested you bhiyaa,Bihar,sadness
2020-03-18,#CoronaVirus is not Dangerous than #Judicial_CoronaVirus . Those Virus Who will locate   That was habitual patient of #Govt Also In India. If ignored by #System_Head . Can #System_Doctor Of #Legislative #Excutive #Judiciary Like #PMModi #CJIBobde #CMNitish @IPSGupteshwar .,Bihar,neutral
2020-03-18,C - Clean Your Hands O- Off From Gatherings R- Raise Your Immunity O- Only Sick to Wear Mask N - No to Hand Shake A- Avoid Rumours सावधान रहें  स्वस्थ रहें! #IndiaFightsCorona,Bihar,sadness
2020-03-18,Apart from the protection in the time of distress we should prevent and address #socialstigma. Misinformation about #coronavirus &amp; #COVID19 is creating fear &amp; hostility that hurts people &amp; makes it harder to keep everyone healthy. @PriyankaJShukla @TS_SinghDeo @sidbshrestha,Chhattisgarh,fear
2020-03-18,#Kerala showing the way. #coronavirus #covid19 ,Chhattisgarh,neutral
2020-03-18,Someday soon... #ChhattisgarhFightsCorona #COVID2019india #COVID19 @WHO @PIB_India,Chhattisgarh,anger
2020-03-18,.@ChhattisgarhCMO on #COVID19 please RT ,Chhattisgarh,sadness
2020-03-18,Thanks buddy 4 info. We need people like U to bring about social cohesion  not like Shaheen Bagh gangs  who are only interested & busy in creating chaos in the society. N Special thanks to @narendramodi @DrSJaishankar who r taking utmost care of their citizens. #IndiaFightsCorona,Chhattisgarh,joy
2020-03-18,Bro! Whoever is sending my dad this coronavirus whatsapp videos  needs to stop .You're going too far..now he won't event let me step out of the house #GoCoronaCoronaGo ,Goa,anger
2020-03-18,"Who is spreading this rumour that ""national coronavirus caller tune” is inspired from ""केजरीवाल की खाँसी”.",Goa,joy
2020-03-18,Lady looks like she's newly married and here on a holiday. Why aren't we cancelling tourist season @goacm @visrane @TourismGoa ? Stop this fiddling around. Get hotels to cancel and stop taking any further bookings!!! #Goa #coronavirus ,Goa,anger
2020-03-18,https://www.facebook.com/groups/1781557198755018/permalink/2608253072752089/ A man from UP is claiming on Facebook that he has made corona medicine. Has India made Corona virus medicine? @narendramodi @myogiadityanath #CoronavirusOutbreak #coronavirusindia #CoronaVirusUpdate,Goa,joy
2020-03-18,@MoHFW Advisory on Social Distancing Measure in view of spread of #COVID19 disease: 8. Local authorities (to have a dialogue with opinion leaders and religious leaders) to regulate mass gatherings and should ensure no overcrowding/at least one metre distance between people.,Goa,disgust
2020-03-18,Goa International airport is committed to provide passengers a safe environment and to prevent the spread of CoVID19  the team carrying out disinfectant cleaning of all the passenger check points in Domestic area also @AAI_Official @MoHFW_INDIA @HardeepSPuri @aairedwr @visrane,Goa,neutral
2020-03-18,Safety First: Extensive disinfectant cleaning at Goa Airport is being carried out on regular basis. X-BIS  trays  tables lifts  railings etc.are being cleaned throughout as a preventive control measure against #COVID19 @AAI_Official @MoCA_GoI @MoHFW_INDIA @aairedwr @visrane – at Dabolim Goa International Airport (GOI),Goa,neutral
2020-03-18,@NSawaikar sir my brother is untraceable from last 2 month he is on voyage to S. Africa  my family is under tremendous stress in view of #COVID19 on behalf of my family i would request you to help us in this distress condition  just want to know if he is safe ,Goa,sadness
2020-03-18,Sir we at Goa airport in support with Govt of Goa are not leaving any stone unturned to fight the CoVID19. Thanks for your encouragement. THE FIGHT CONTINUES,Goa,anger
2020-03-18,If there was a vaccine available to fight #COVID19 would you choose not to take it just as you are choosing not to #sociallydistance yourself cuz you think your young and fit body can fight it? #DontBeStupidAlready #StayHome,Goa,surprise
2020-03-18,#truth #coronavirusinindia #IndiaFightsCorona plight of the sales team ,Goa,neutral
2020-03-18,Lel Corporates be like - “Due to declaration of #Covid19 as a global pandemic  we are removing the lunch hour in our schedule from now on to ensure greater safety of our employees” ,Gujarat,anger
2020-03-18,India can use empty Buildings/apartments to quarantine people if we don’t have enough space in http://Hospitals.Builders can help Indian gov. @PMOIndia @narendramodi @AmitShahOffice @CMOMaharashtra @AUThackeray #coronavirusindia #StaySafeStayHome #IndiaFightsCorona – at mumbai,Gujarat,disgust
2020-03-18,Congratulations @narendramodi @drharshvardhan @AshwiniKChoubey for your Efforts in saving India &amp; Indians against this coronavirus. India will remember this forever. ,Haryana,joy
2020-03-18,Please Beware of Fake #Coronavirus Tracker Application in the market guys. #CyberSecurity #DataScience #datasecurity #Hackers #100DaysOfCode #CoronavirusOutbreak #CoronaVirusPakistan #Coronafighters #CoronaVirusChallenge,Jharkhand,surprise
2020-03-18,Proud of you sir and well to know that about #COVID19 and great be take your health and your family.... ,Maharashtra,joy
2020-03-18,Here i have appreciated his role as CM particularly on corona virus situation,Punjab,neutral
2020-03-18,Well Done Usman Buzdar Erdogan Hospital Muzaffargarh. Total Capacity: 450 Beds Isolation: 400 Beds Emergency: 50 Beds OPD is closed during Coronavirus. Additionally 500 Beds can be set in 2-3 days depending upon outbreak. #CoronaInPakistan,Punjab,fear
2020-03-18,Imran Khan as PM has severely failed to tackle the issue of Corona Virus as his governance is influenced by superstitions. If Imran Khan is least interested in using collective wisdom of Parliament، then Army should come forward to make urgent decision to address the issue.,Punjab,neutral
2020-03-18,18 628 coronavirus cases reported WORLDWIDE IN A DAY. This is seriously scaring.,Punjab,fear
2020-03-18,Pakistan has seen it’s first 2 deaths due to #CoronaVirus; people need to take this very serious now. Prevent the spread of #Covid19 by STAYING AT HOME. Postpone all your social activities today for your own and loved one’s safety! #KnowCOVID #QuitforCovid #CoronaInPakistan,Punjab,anger
2020-03-18,It was nice to be the Corona Virus for one day..If anyone got offended...Then go F**k yourself....,Punjab,joy
2020-03-18,850 million students around the world have stopped going to school because of coronavirus. This is as bad as it gets  beg all of you to take this seriously.This isn’t a movie or your tv show. We are at brink of a worldwide disaster I am sure your shenanigans can take a fkn break,Punjab,anger
2020-03-18,Proof of Chinese government fight against Corona virus. Defeated with a honorable way thanks CHINA ,Punjab,surprise
2020-03-18,Be safe from corona virus Allah bless you my Prayers are with you and your family,Punjab,joy
2020-03-18,I am usually alright BUT every time I do a story on #coronavirus or read out news about corona  I ‘feel’ that I have breathing difficulty  and probably fever too that I can’t detect on thermometer. What do you think is wrong with me ? #CoronaOutbreak #CoronaInPakistan,Punjab,sadness
2020-03-18,5 Things To Know About Coronavirus And People With Disabilities via @forbes,Punjab,neutral
2020-03-18,Two deaths in #KPK today due to #CoronaVirus,Punjab,sadness
2020-03-18,The best way to avoid CoronaVirus is to avoid Media!,Punjab,neutral
2020-03-18,Can the Power of Prayer Alone Stop a Pandemic like the Coronavirus? Even the Prophet Muhammad Thought Otherwise | Opinion ,Punjab,anger
2020-03-18,Coronavirus is a Temporary threat to humanity around the globe which is Common Challenge to the Entuire World. Hope it will be Controlled Shortly.,Punjab,fear
2020-03-18,Press bell of their home  who so ever come out  shake hand with him and tell him you have Coronavirus. Tell him now go inside and dance with everybody ,Punjab,fear
2020-03-18,What if coronavirus was just a social experiment and y'all hoarders  selfish  greedy people failed and evolution entered the game to eliminate y'all? ,Punjab,anger
2020-03-18,When all markets will use powerful bulbs in conivance with WAPDA it will lead to load shedding.Govt b preprepred to ppl's http://curses.In fact this was rt occasi undr Coronavirus threat to shut downmarkets except grocery and medical stores.or at best enforce9 to5 shops.,Punjab,anger
2020-03-18,DR.KRISTIE! CONGRATULATIONS! FOR YOUR POSITIVE APPROACH TOWARDS SELECTION OF! NUTRITIOUS DIET   WHICH IS VERY FRUITFUL NOW A DAYS !!! AS CORONA VIRUS HAS SPREAD WORLDWIDE!!! YOUR ADVISE FOR FOOD SELECTION ARE USEFUL  TO BOOST THE IMMUNE SYSTEM TO FIGHT THE DISEASE!!!,Punjab,neutral
2020-03-18,For those who have mligned pak Army Chief on his statement about corona virus situation in pakistan.. ,Punjab,neutral
2020-03-18,Coronavirus is a global threat to Humanity but Opposition is fixing It's Responsibility on the Government.This is time to be United as one Peace Nation.Rather than Point http://Securing.So it's the only Option to give this task to the Armed Forces to be Tackled.,Punjab,fear
2020-03-18,Teaching preventive measures to children for avoiding #coronavirus Children spreading the message of cleanliness and personal hygiene to peers and family members. Small contributions yield substantial results! ,Punjab,neutral
2020-03-18,The spirit of service *Rana Mohammad Azeem* the leader of the journalist  the general secretary of the Pakistan Federal Union of Journalists  is distributing masks for the prevention of the Corona virus in public.@PFUJOfficial @ifjasiapacific @ranazeempfuj,Punjab,disgust
2020-03-18,At this moment of crisis @gdpakistan is raising awareness on prevention of corona virus! @valekhan @imrantakkar,Punjab,anger
2020-03-18,What is total number of Coronavirus patients in Sindh now. Still 181 as in the morning or increased,Punjab,joy
2020-03-18,Armed Forces Must be Taken the Instant Controlled of State Administration to be Maintained Accordingly Civil Administration is not Competent enough to be Handled the Crises of Coronavirus Which is the biggest threat to humanity around the globe.,Punjab,fear
2020-03-18,Soo the plan is working for Pakistan.. The Funds are coming from different Unions for the sterilization process of Corona virus.. Huge loss for pakistani public as the country is on a full lockdown. The government has achieved what they want.. Just Funds #CoronaInPakistan,Punjab,neutral
2020-03-18,It’s so sad that you can’t travel to any other country for recreation in summer due to this pathetic disease Coronavirus,Punjab,sadness
2020-03-18,Meet 17-Year-Old Avi Schiffmann Who Runs Coronavirus Tracking Website Used by 40+ Million Globally https://www.democracynow.org/2020/3/17/avi_schiffmann_coronavirus_tracker via @democracynow #COVID2019,Punjab,neutral
2020-03-18,First coronavirus patient in Pakistan has died in Gilgit Baltistan. The government spokesman has officially confirmed the death of the 90-year-old patient who tested positive for #CoronaInPakistan but had no travel history - #COVID2019 #CoronaVirusUpdate #PakistanFightsCorona,Punjab,sadness
2020-03-18,Abu Huraira R.A rptd: RasoolAllahﷺ  said “Allah did not send down any disease but that he also sent down the cure” Ṣaḥīḥ al-Bukhārī This CoronaVirus COVID-19 has spread to many parts of the world  may Allah Kareem grant Shifa and protect all Mankind from this disease. Ameen ,Punjab,anger
2020-03-18,Electronic marke refused to close thier shops.explain them possibilty ofthier getting caught Coronavirus.Neotiate rhough president of markt.Othr is use force  close thier shops.Still there is anothr way any cutomer coming b hauld up and sent home.What a country!!,Punjab,neutral
2020-03-18,When will a coronavirus vaccine be ready? The question that we all keep asking. #CoronaInPakistan #Corona #CoronavirusOutbreak https://www.theguardian.com/world/2020/mar/18/when-will-a-coronavirus-vaccine-be-ready,Punjab,neutral
