Tweet Posted Time (UTC),Tweet Content,Tweet Location,Emotion
2020-03-17,#CORONA शब्द में ही छुपा है कोरोना से बचाव! C -Clean Your Hands O-Off From Gatherings R-Raise Your Immunity O-Only Sick to Wear Mask N -No to Hand Shake A-Avoid Rumours #coronavirus #CoronavirusOutbreak #IndiaFightsCorona,Bihar,sadness
2020-03-17,Aviation industry after corona virus pandemic.. ,Bihar,surprise
2020-03-17,Yogi Adityanath is himself a corona virus for the Indian Politcs and Politcs be freed from such viruses! ,Bihar,neutral
2020-03-17,Appeal to the government of India to revoke recent controversial decisions such as CAA  NPR  nationwide NRC  etc. in the wake of Coronavirus outbreak. There are mass protests in the country everywhere due to these decisions  please halt them for now. @narendramodi @AmitShah #nCov,Bihar,fear
2020-03-17,@BiharpoliceHq @BiharCMOffice @NitishKumar Janta Darbar Roka Gaya @IPSGupteshwar G dwara. Lekin Police Rupi #coronavirus Par kya hoga. Bihar ke #CM_DGP Request For Avoid Joking Evaid Ignoring. Bcz DGP is protector of law. #CJI 4 #Interpretor . What is #law Doubtful.,Bihar,disgust
2020-03-17,Janta ke lie Janta Darbar #Stop By @IPSGupteshwar g. But Why not #CORONA_VIRUS In your Stop by You and #Your_Police R D Not #Policinig_Joke #SPVaishali #BarantiOP In the Govt of @NitishKumar Bihar @narendramodi_in #India. Yesterday Also present to meet with #DGP,Bihar,anger
2020-03-17,Namaste goes global with Corona Virus..! #coronavirusinindia #NamasteCorona #namasteoverhandshake @AazadAnkit,Bihar,neutral
2020-03-17,#CORONA शब्द में ही छुपा है कोरोना से बचाव! C -Clean Your Hands O-Off From Gatherings R-Raise Your Immunity O-Only Sick to Wear Mask N -No to Hand Shake A-Avoid Rumours #coronavirus #CoronavirusOutbreak #IndiaFightsCorona,Bihar,sadness
2020-03-17,#coronavirus “it’s a China product  India me nhi chalega”. Bas #handwashing krte rho. Stay at home. #covidindia #coronavirusindia #COVID19,Chhattisgarh,neutral
2020-03-17,LET US ALL KNOW ABOUT THE WORLD'S GREATEST PANDEMIC THREAT OF CORONA VIRUS AILMENTS. LET FIGHT TOGETHER TO FACE AND DEFEAT THIS DEADLY DISEASE. AWARENESS &amp; PRECAUTIONS CAN HELP US. CITIZENS &amp; NATIONAL GUARD CAN OVERCOME CRISIS.CONSUME LIME  GINGER  BLACK PEPPER  SAFFRON  JAGGERY. ,Chhattisgarh,neutral
2020-03-17,Listen to @SrBachchan regarding #COVID19 #coronavirus ,Chhattisgarh,disgust
2020-03-17,-Coronavirus cases top 174 000 worldwide  as deaths exceed 7 000 -China has 80 860 confirmed cases  rest of the world tops 94 000 Nearly 80000 infected by #COVID19 are seen recovery in their conditions. This is d real hope for World community.,Chhattisgarh,sadness
2020-03-17,Coronavirus has impacted the tourisim &amp; Entertainment industry like anything. When will this motherfucking shit go!!! PS: Please stay safe #coronavirus #gocorono #india,Goa,anger
2020-03-17,India Government Prepares Fleet Of Flying LABORATORY sends to high epidemic areas globally PM NARENDRA MODI APPROACHED by UK PM Boris and world health summit leaders to head this operation for fighting against Epidemic CORONA VIRUS,Goa,neutral
2020-03-17,#Goa Finally  DoE issues order cancelling final exams of Stds I to VIII. Exams for Stds IX &amp; XI to be held keeping in mind guidelines to prevent spread of #Coronavirus The directive comes a day after Goa Board had given schools the choice of either postponing or cancelling exams ,Goa,joy
2020-03-17,Isis tells followers not to travel to Europe for attacks because of coronavirus ,Goa,sadness
2020-03-17,https://youtu.be/vWoPR2qjns4 Do watch this video on #CoronaVirus Something that is nobody is telling you about the corona.,Goa,neutral
2020-03-17,Airline counter they asked me to pay 3000 as re scheduling charges as your 12.10 and 12.40 flights are available when fare is same at the website I checked when whole world is suffering and cooperating each other due to Corona Virus you guys are more interested to make money,Goa,neutral
