Tweet Posted Time (UTC),Tweet Content,Tweet Location,Emotion
2020-03-19,Other countries : Cut interest rates  suspend rent  taxes etc  increase more testing facilities  create more isolation wards.. Modiji: Sunday shaam 5 baje balcony me aa k taali aur thaali bajao. #Coronavirus #मोदीजी_बकवास_बंद_करो #StopBhashanShowAction #IndiaFightsCorona,Bihar,neutral
2020-03-19,THIS SUNDAY  LETS FIGHT WITH CORONAVIRUS ALL TOGETHER,Bihar,neutral
2020-03-19,Respected sir you have done excellent work to prevent Bihar from Corona virus. Now Plz seal the boarders of state (Bihar). All neighborhood state have Corona positive cases. It's very important to restrict entry of people from other states to our state (Bihar).,Bihar,disgust
2020-03-19,Some important matter to save from corona virus @Samastipur https://www.instagram.com/p/B95YnUWB5u-/?igshid=1ckh045ndiiyz,Bihar,neutral
2020-03-19,30 mins bhashan by Modi Jee is shortest bhashan ever. All #COVID19 affect. #JantaCurfew #NarendraModi,Bihar,joy
2020-03-19,Modi Jee is asking favour from us but when we ask favour from him   he has no answer. Pertrol price Job Creation CAA NPR @ShashiTharoor @sardesairajdeep @kamaalrkhan @dhruv_rathee @RanaAyyub @one_by_two @kunalkamra88 @khanumarfa @BDUTT #PMModiOnCorona #COVID19,Bihar,neutral
2020-03-19,I need few of your weeks - @narendramodi Public - We need petrol price to be cut down. #PMModiOnCorona #NarendraModi #COVID19ON #COVID19,Bihar,neutral
2020-03-19,Defeat Corona Be Aware &amp; stay Healthy &amp; Safe 2 today's awareness cum apeal campaign Only through Loudspeakers Stay at home 22 March Break D Chain Barh patna Bihar #IndiaFightsCorona @WHO @PMOIndia @MoHFW_INDIA @BiharHealthDept @BiharCMOffice,Bihar,neutral
2020-03-19,Other countries : Cut interest rates  suspend rent  taxes etc  increase more testing facilities  create more isolation wards.. Modiji: Sunday shaam 5 baje balcony me aa k taali aur thaali bajao. #Coronavirus #मोदीजी_बकवास_बंद_करो #StopBhashanShowAction #IndiaFightsCorona,Bihar,neutral
2020-03-19,All the people of the country are requested to follow the instructions of the Prime Minister. #NarendraModi #caronafighters #IndiaFightsCorona @narendramodi @CMOfficeUP @drharshvardhan @NitishKumar,Bihar,neutral
2020-03-19,An excellent initiative by PM Narendra Modi ji...this Sunday  March 22 from 7 am to 9 pm let’s all join in the #JantaCurfew and show the world we are together in this. #SocialDistancing #IndiaFightsCorona #Clean_India #Safe_India @Nakul_Singh_,Bihar,neutral
2020-03-19,I promise to follow all the suggestions by PM Narendramodi on #CoronavirusOutbreakindia Social Distancing Janta Curfew on 22nd March &amp; 5pm applaud those who lead the fight     #IndiaFightsCorona #jantacurfew #CoronaVirusUpdate #CoronaVirusChallenge @PMOIndia @narendramodi,Bihar,neutral
2020-03-19,But why not #India_Fights_Corruption . By @narendramodi_in @AmitShah #Corruption Is Danger than #Corona.,Bihar,anger
2020-03-19,Hats off sir for your and entire health department’s efforts to control #COVID19 in Chhattisgarh,Chhattisgarh,anger
2020-03-19,India stands united to defeat this #WuhanVirus #IndiaFightsCorona #JantaCurfew #जनता_कर्फ्यू,Chhattisgarh,neutral
2020-03-19,You spoke like head member of the Family. When it comes to moral boosting no one is better than you hon'ble @narendramodi ji. Govt cannot do everything  it's our collective duty &amp; responsibility to stay strong &amp; stay safe to fight this pandemic. #JantaCurfew #IndiaFightsCorona,Chhattisgarh,neutral
2020-03-19,This Sunday from 7 am to 9 pm we need to follow #JANATHACURFEW. #IndiaFightsCorona #सेवापरमोधर्मा #संकल्पऔरसंयम,Chhattisgarh,neutral
2020-03-19,#sevaparmodharm guys help each other in this hard time we all are facing issue   we all need to be attentive and now please stop creating fake news and false issues just remember we are one we are developing country. #COVID19ON #pmoindia #BJP #lockdownuk #IndiaFightsCorona #India,Chhattisgarh,sadness
2020-03-19,This Sunday from 7 am to 9 pm we need to follow #JANATHACURFEW. #IndiaFightsCorona #सेवापरमोधर्मा #संयमऔरसंकल्प #संकल्पऔरसंयम @Himadri4Bjp @0aa8834b72dd45c,Chhattisgarh,neutral
2020-03-19,@ZeeNews @sudhirchaudhary Please show this news on zee news because goa's cm &amp; his minister's putting people's life in danger. Every day cm &amp; his minister's taking 3/4 rallys by Knowing Corona virus advisory by central government. Please help us ,Goa,sadness
2020-03-19,@narendramodi Ji @PMOIndia Sir our cm dr pramod Sawant and his irresponsible ministers... Gathering people's in large numbers for zp election campaigning by Knowing fact of Corona virus advisory Risking people's life. Please my request you to take action against them.. ,Goa,disgust
2020-03-19,Surely there should be Corona virus post apocalypse movie.... #MEMES #readit #CoronavirusOutbreakindia,Goa,anger
