Tweet Posted Time (UTC),Tweet Content,Tweet Location,Emotion
2020-06-09,Jyotiraditya Scindia  his mother test positive for Coronavirus. While his mother is asymptomatic  Scindia has mild symptoms. #JyotiradityaScindia,Assam,neutral
2020-06-09,COVID-19 Free New Zealand Lifts Curbs at Midnight Prime Minister of New Zealand  Jacinda Ardern  announced that the country would lift all of its last remaining coronavirus restrictions at midnight. ,Assam,joy
2020-06-09,301 recover from Covid-19 in Assam on Tuesday In the biggest single-day recovery so far in Assam  301 Covid-19 patients were discharged from hospitals on Tuesday  which has slashed down the number of active cases to 1 844. ,Assam,disgust
2020-06-09,I congratulate Newzeeland govt for their successful fight against Covid-19. India should learn from them  we all should support our govt. #FightAgainstCOVID19 @narendramodi,Assam,anger
2020-06-09,ICMR Approves Diphu Medical College as COVID-19 Testing Centre The Indian Council of Medical Research (ICMR) has approved Diphu Medical College as a COVID-19 testing centre. ,Assam,surprise
2020-06-09,Jyotiraditya Scindia and his mother has been found COVID positive. They have been admitted in Max Hospital in Delhi.,Assam,joy
2020-06-09,Unlocking has been started but keep in mind that CoronsVirus has not ended. #COVID__19 #StaySafeStayHealthy #WearMask #MentainSocialDistancing,Assam,neutral
2020-06-09,COVID-19 Free New Zealand Lifts Curbs at Midnight Prime Minister of New Zealand  Jacinda Ardern  announced that the country would lift all of its last remaining coronavirus restrictions at midnight. ,Assam,joy
2020-06-09,@airtelindia #3008409125 Thank you Team  My complain has been resolved today regarding SetTop box Remote was not working. Today your team visited and gave a new remote. thank you for your quick response during this lockdown ,Assam,joy
2020-06-09,Mizoram Govt Extends Lockdown by 2 More Weeks The chief minister of Mizoram  Zoramthanga  has announced that the state will impose a 2 week long lockdown from June 9. ,Assam,joy
2020-06-09,#ParleG records Best Sales in 82 years during Lockdown Parle_G right now : ,Assam,surprise
2020-06-09,Rupali Boraik initiated Yoga classes for AGG members during lockdown for maintaining a healthy body and mind. #muktaakash #youthofassam #yoga #healthybody #lockdownactivity,Assam,neutral
2020-06-09,301 recover from Covid-19 in Assam on Tuesday In the biggest single-day recovery so far in Assam  301 Covid-19 patients were discharged from hospitals on Tuesday  which has slashed down the number of active cases to 1 844. ,Assam,disgust
2020-06-09,I congratulate Newzeeland govt for their successful fight against Covid-19. India should learn from them  we all should support our govt. #FightAgainstCOVID19 @narendramodi,Assam,anger
2020-06-09,ICMR Approves Diphu Medical College as COVID-19 Testing Centre The Indian Council of Medical Research (ICMR) has approved Diphu Medical College as a COVID-19 testing centre. ,Assam,surprise
2020-06-09,Unlocking has been started but keep in mind that CoronsVirus has not ended. #COVID__19 #StaySafeStayHealthy #WearMask #MentainSocialDistancing,Assam,neutral
