Tweet Posted Time (UTC),Tweet Content,Tweet Location,Emotion
2020-05-20,What weed is Nepal P.M taking these days Daju @Jorebungley ?? Blaming Our Country for spreading Corona virus ? Not daring to speak about his Chinese masters he is only jeoparding safety of innocent Gorkhas living in different parts of the country he should keep quiet .,Assam,surprise
2020-05-20,@BadruddinAjmal  Ajmal foundation doing great job  previously they also provided 1.5 corore to Assam govt. for fight against covid-19 pandemic. ,Assam,anger
2020-05-20,@himantabiswa Sir BHMS doctor and Final year student are ready to fight against COVID 19 ...as a volunteer .. Pls sir give us chance to serve our beautiful assam #stay home stay safe #Corona harega India jitega #IndiaFightsCoronavirus,Assam,neutral
2020-05-20,What else will these thugs do? I can imagine what kinds of scams(COVID-19 related) will come forward if they'd formed the government.,Assam,neutral
2020-05-20,@himantabiswa @narendramodi @Pijush_hazarika @CMOfficeAssam Sir please BHMS doctor and Final year student are ready to fight against COVID 19 ...as a volunteer .. Pls sir give us chance to serve our beautiful assam #stay home stay safe #Corona harega India jitega,Assam,neutral
2020-05-20,You are good at mocking. I don't think people in general are considering Burkha Dutta a potential super spreader of Covid 19. Nor do they have any issue with her. But you are one who constantly is baying for her blood. You must be a descendant of Sikander Bakht. . ,Assam,disgust
2020-05-20,People should understand their social responsibility. They are supposed to follow the COVID 19 guidelines in public places. District administration should take strict measures against the violaters. Fatak Bazar is so close to Silchar Sadar PS after all.,Assam,anger
2020-05-20,Do you think Edtech companies will see a surge post this COVID-19 pandemic? @arunjee @IncubateIND #TechTalks,Assam,joy
2020-05-20,Various measures have been announced from time to time to provide relief to the employers and employees of the establishments covered under the EPF & MP Act  1952 distressed by Lockdown to prevent spread of COVID-19 and other disruptions due to Pandemic. https://allaboutnortheast.in/2020/05/20/lower-rate-of-epf-subscription-10-with-epfo-notified-placing-higher-liquidity-in-the-hands-of-employees-and-employers-during-covid-19-pandemic/,Assam,neutral
2020-05-20,@sarbanandsonwal on Tuesday said farmers and agri entrepreneurs did business worth Rs 357 crore during the lockdown  of which Rs 126 crore came from exporting produce within the region and outside. ,Assam,disgust
2020-05-20,Various measures have been announced from time to time to provide relief to the employers and employees of the establishments covered under the EPF & MP Act  1952 distressed by Lockdown to prevent spread of COVID-19 and other disruptions due to Pandemic. https://allaboutnortheast.in/2020/05/20/lower-rate-of-epf-subscription-10-with-epfo-notified-placing-higher-liquidity-in-the-hands-of-employees-and-employers-during-covid-19-pandemic/,Assam,neutral
2020-05-20,@BadruddinAjmal  Ajmal foundation doing great job  previously they also provided 1.5 corore to Assam govt. for fight against covid-19 pandemic. ,Assam,anger
2020-05-20,@himantabiswa Sir BHMS doctor and Final year student are ready to fight against COVID 19 ...as a volunteer .. Pls sir give us chance to serve our beautiful assam #stay home stay safe #Corona harega India jitega #IndiaFightsCoronavirus,Assam,neutral
2020-05-20,What else will these thugs do? I can imagine what kinds of scams(COVID-19 related) will come forward if they'd formed the government.,Assam,neutral
2020-05-20,@himantabiswa @narendramodi @Pijush_hazarika @CMOfficeAssam Sir please BHMS doctor and Final year student are ready to fight against COVID 19 ...as a volunteer .. Pls sir give us chance to serve our beautiful assam #stay home stay safe #Corona harega India jitega,Assam,neutral
2020-05-20,You are good at mocking. I don't think people in general are considering Burkha Dutta a potential super spreader of Covid 19. Nor do they have any issue with her. But you are one who constantly is baying for her blood. You must be a descendant of Sikander Bakht. . ,Assam,disgust
2020-05-20,Sir  were these people in the Quarantine Center? Or is the COVID19 community transfer started in assam? #AssamCovidCount,Assam,disgust
2020-05-20,People should understand their social responsibility. They are supposed to follow the COVID 19 guidelines in public places. District administration should take strict measures against the violaters. Fatak Bazar is so close to Silchar Sadar PS after all.,Assam,anger
2020-05-20,Do you think Edtech companies will see a surge post this COVID-19 pandemic? @arunjee @IncubateIND #TechTalks,Assam,joy
2020-05-20,Various measures have been announced from time to time to provide relief to the employers and employees of the establishments covered under the EPF & MP Act  1952 distressed by Lockdown to prevent spread of COVID-19 and other disruptions due to Pandemic. https://allaboutnortheast.in/2020/05/20/lower-rate-of-epf-subscription-10-with-epfo-notified-placing-higher-liquidity-in-the-hands-of-employees-and-employers-during-covid-19-pandemic/,Assam,neutral
2020-05-20,ward no-11 and ward no-12 are fully sealed of Pasraha khagaria due to corona virus case.@sanjayjavin @KhagariaDm @NitishKumar @KhagariaSp @ABPNews @imkunalcreative @ANI @,Bihar,sadness
2020-05-20,After Sanjay Kumar's transfer  information of covid +ve is not available properly. Please give us proper data of covid +ve patient like before did. Is this routine transfer or any conspiracy behind this ? @BiharHealthDept @sanjayjavin #BiharFightsCorona #Covid_19india,Bihar,joy
2020-05-20,Bihar's Principal Health Secretary Sanjay Kumar shunted out  amidst growing popularity. He has been at the forefront of state's fight against covid-19. Be prepared for data fudging and hell...,Bihar,anger
2020-05-20,Sir from where we will get further updates about covid 19 ?,Bihar,anger
2020-05-20,#industryinbihar My situation on this lock down. #Covid_19,Bihar,sadness
2020-05-20,Yr work is worship.. satisfied having @sanjayjavin as principal secretary health department in this panic of covid-19 in Bihar..,Bihar,sadness
2020-05-20,Our state bihar has almost 1391 Nos of COVID positive cases total fatality so far 9... Fatality rate is = 0.6% ( lowest in country ) till date.. India Avg fatality rate = 3.4% Bihar = 0.6% Regards,Bihar,neutral
2020-05-20,Whatever railway employees went to their village on leave. Lockdown was done by the Government of India for prevention of covid 19 pandemic disease. Information related to employee leave during that lockdown. @RailMinIndia @Central_Railway @PiyushGoyal @PiyushGoyalOffc,Bihar,neutral
2020-05-20,INDIA in total lockdown success #LockdownPassYaFail,Bihar,surprise
