Tweet Posted Time (UTC),Tweet Content,Tweet Location,Emotion
2020-05-21,After Nepal PM blamed India for Corona Virus Communist Xi Xin ping be like ,Assam,disgust
2020-05-21,@himantabiswa Sir BHMS doctor and Final year student are ready to fight against COVID 19 ...as a volunteer .. #stay home stay safe #Corona harega India jitega,Assam,neutral
2020-05-21,COVID-19: Assam records one more positive case; state’s tally rises to 189 ,Assam,sadness
2020-05-21,Trial Of Anti-Malarial Drug Hydroxychloroquine As Prophylactic Against Covid-19 Begins In UK ,Assam,neutral
2020-05-21,Good morning  how r you! At present your place of posting! At Dhubri sector all work stopped due to covid 19 since march 15 ok have a good day,Assam,joy
2020-05-21,Just Close it again for at least 30 days sir with proper lockdown like 1st one. Dont want to see my Assam people dying with this Virus. ,Assam,sadness
2020-05-21,Respacted sir   BIDHUBHUSHAN MANDAL age 54 working as a car mechanic in KERALA STATE   his situation going very critical now he was workless under lockdown period nonody help this person,Assam,anger
2020-05-21,What have u learnt from this #lockdown?? I learnt that selfish ppl are wasting their energy for no reason afterall u may die anytime coz of natural calamities ,Assam,sadness
2020-05-21,Hello guys I am RGH/BISHAL GUYS LOCKDOWN IS GOING ON SO SUBSCRIBE OUR CHANNEL TO SEE OUR LATEST GAMING VIDEO'S WE BROUGHT VARIETIES OF GAMES FOR YOU... SO GUYS U CAN TELL US WHAT EVER U WANT... WE ALL ARE FOR U ONLY We are #ROYAL_ARMY #LIKE #SHARE ...... THANK YOU....,Assam,joy
2020-05-21,@swiggy_in @SwiggyCares Are you guys or your Servers out of your mind ?? Calling someone at 4 in the morning to notify them that their restaurant is off the grid because they haven't opened the partner app since lockdown ?? ,Assam,neutral
2020-05-21,@DIPR_COVID19 I want to fly from Guwahati to Bangalore on 3rd July evening  spend the night at Bangalore Airport (or my House if permitted) and fly back on 4th morning with my wife and two daughters (2yrs and 7yrs). Is it possible without State/Home Qurantine ?? Kindly advise..,Assam,joy
2020-05-21,@himantabiswa Sir BHMS doctor and Final year student are ready to fight against COVID 19 ...as a volunteer .. #stay home stay safe #Corona harega India jitega,Assam,neutral
2020-05-21,COVID-19: Assam records one more positive case; state’s tally rises to 189 ,Assam,sadness
