Tweet Posted Time (UTC),Tweet Content,Tweet Location,Emotion
2020-03-05,@rsprasad As Minister of #Postal_Department Also infected of #CoronaVirus. So in his tenure also intervened by @rashtrapatibhvn @PMOIndia @MHAIndia @BiharCMOffice @CVCIndia @cicindia His @IndiaPostOffice #SecretaryPost @pmgmuzaffarpur Ignoring truth after Sumitting Prove.,Bihar,neutral
2020-03-05,Now days disease is also made in china in all over world #Corinnavirus #COVID19 #coronavirusinindia,Bihar,neutral
2020-03-05,@PuneCityPolice @DGPMaharashtra @ThePuneMirror does the corona Virus affecting any Holi parties in Pune.,Goa,surprise
2020-03-05,I was telling my mother to becareful of #coronavirus and she started telling me how I should keep my room clean  not eat outside  not eat junk  eat fish. All this to stay away from coronavirus. #coronavirusinindia,Goa,neutral
2020-03-05,To ensure smooth and comfortable universal screening of all International passengers  sufficient seating arrangments and writing tables are reorganized at Goa InternationalAirport @AAI_Official @MoCA_GoI @MoHFW_INDIA @DGCAIndia @aairedwr #coronavirus ,Goa,anger
2020-03-05,As a precaution against spreading of #CoronaVirus universal screening of all international passengers is being undertaken at Goa Airport by Airport Health officers. All passengers are requested to cooperate. #CoronaAlert @AAI_Official @MoCA_GoI @MoHFW_INDIA @DGCAIndia,Goa,neutral
2020-03-05,If you’re traveling  use this to track the corona virus. ,Goa,joy
2020-03-05,The corona virus when it falls on a metal surface will live for 12hr so washing hands with soap and water well will do the trick. Corona virus when it falls on fabrics stays for 9hr so washing clothes or exposing them to the sun for 2hr is enough for the purpose of killing him.,Goa,neutral
2020-03-05,Unicef The corona virus is large in size with a cell diameter of 400-500 micro  so any mask prevents its entry so there is no need to exploit pharmacists to trade with muzzles. The virus does not settle in the air  but on the ground  so it is not transmitted by the air.,Goa,disgust
2020-03-05,Has the coronavirus not hit BJP yet ?,Goa,neutral
2020-03-05,PMO’s coronavirus meet decides to set up testing facilities in all districts via @htTweets,Goa,anger
2020-03-05,Coronavirus: More than 94 000 cases have been confirmed worldwide  WHO says #Coronavirus ,Gujarat,disgust
2020-03-05,Take necessary precautions and try not to hype about this #CoronaVirus. Spread awareness about it and by following few steps you can surely avoid this. WHO has issued special guidelines  please follow them. Distribute masks to the needy ones and stay safe. #CoronaVirusinIndia,Haryana,neutral
